frames,algorithm,page_faults,disk_reads,disk_writes,fault_rate,events_in_trace,trace
16,rand,150432,150432,24883,15.040000000000001,1000000,gcc
32,rand,106636,106636,17166,10.66,1000000,gcc
48,rand,87210,87210,14060,8.72,1000000,gcc
64,rand,75068,75068,12235,7.51,1000000,gcc
96,rand,60685,60685,9994,6.069999999999999,1000000,gcc
128,rand,51419,51419,8598,5.140000000000001,1000000,gcc
192,rand,39450,39450,6823,3.95,1000000,gcc
256,rand,31931,31931,5726,3.19,1000000,gcc
384,rand,22056,22056,4251,2.21,1000000,gcc
512,rand,16264,16264,3386,1.63,1000000,gcc
768,rand,10062,10062,2339,1.01,1000000,gcc
1024,rand,7037,7037,1687,0.7000000000000001,1000000,gcc
16,lru,116604,116604,14749,11.66,1000000,gcc
32,lru,84401,84401,11737,8.44,1000000,gcc
48,lru,68765,68765,10100,6.88,1000000,gcc
64,lru,59089,59089,8863,5.91,1000000,gcc
96,lru,46661,46661,7021,4.67,1000000,gcc
128,lru,40821,40821,6131,4.08,1000000,gcc
192,lru,30677,30677,4893,3.0700000000000003,1000000,gcc
256,lru,25308,25308,4231,2.53,1000000,gcc
384,lru,16435,16435,2979,1.6400000000000001,1000000,gcc
512,lru,10425,10425,2173,1.04,1000000,gcc
768,lru,6389,6389,1421,0.64,1000000,gcc
1024,lru,4391,4391,955,0.44,1000000,gcc
16,clock,121682,121682,16376,12.17,1000000,gcc
32,clock,87686,87686,12293,8.77,1000000,gcc
48,clock,71639,71639,10632,7.16,1000000,gcc
64,clock,61640,61640,9346,6.16,1000000,gcc
96,clock,48641,48641,7552,4.859999999999999,1000000,gcc
128,clock,43017,43017,6671,4.3,1000000,gcc
192,clock,32647,32647,5281,3.26,1000000,gcc
256,clock,26789,26789,4528,2.68,1000000,gcc
384,clock,17720,17720,3273,1.77,1000000,gcc
512,clock,11472,11472,2398,1.15,1000000,gcc
768,clock,6901,6901,1607,0.69,1000000,gcc
1024,clock,4765,4765,1086,0.48,1000000,gcc
16,rand,4457,4457,1474,0.44999999999999996,1000000,bzip
32,rand,2573,2573,850,0.26,1000000,bzip
48,rand,1910,1910,641,0.19,1000000,bzip
64,rand,1571,1571,558,0.16,1000000,bzip
96,rand,1207,1207,417,0.12,1000000,bzip
128,rand,944,944,321,0.09,1000000,bzip
192,rand,592,592,156,0.06,1000000,bzip
256,rand,423,423,77,0.04,1000000,bzip
384,rand,317,317,0,0.03,1000000,bzip
512,rand,317,317,0,0.03,1000000,bzip
768,rand,317,317,0,0.03,1000000,bzip
1024,rand,317,317,0,0.03,1000000,bzip
16,lru,3344,3344,1069,0.33,1000000,bzip
32,lru,2133,2133,702,0.21,1000000,bzip
48,lru,1490,1490,505,0.15,1000000,bzip
64,lru,1264,1264,420,0.13,1000000,bzip
96,lru,937,937,308,0.09,1000000,bzip
128,lru,771,771,224,0.08,1000000,bzip
192,lru,505,505,102,0.05,1000000,bzip
256,lru,397,397,48,0.04,1000000,bzip
384,lru,317,317,0,0.03,1000000,bzip
512,lru,317,317,0,0.03,1000000,bzip
768,lru,317,317,0,0.03,1000000,bzip
1024,lru,317,317,0,0.03,1000000,bzip
16,clock,3468,3468,1128,0.35000000000000003,1000000,bzip
32,clock,2203,2203,734,0.22,1000000,bzip
48,clock,1557,1557,540,0.16,1000000,bzip
64,clock,1318,1318,443,0.13,1000000,bzip
96,clock,976,976,324,0.1,1000000,bzip
128,clock,802,802,235,0.08,1000000,bzip
192,clock,555,555,133,0.06,1000000,bzip
256,clock,432,432,71,0.04,1000000,bzip
384,clock,317,317,0,0.03,1000000,bzip
512,clock,317,317,0,0.03,1000000,bzip
768,clock,317,317,0,0.03,1000000,bzip
1024,clock,317,317,0,0.03,1000000,bzip
16,rand,194925,194925,39932,19.49,1000000,swim
32,rand,83494,83494,18234,8.35,1000000,swim
48,rand,49401,49401,11342,4.9399999999999995,1000000,swim
64,rand,35472,35472,8464,3.55,1000000,swim
96,rand,23591,23591,6179,2.36,1000000,swim
128,rand,18365,18365,5116,1.8399999999999999,1000000,swim
192,rand,12350,12350,3768,1.24,1000000,swim
256,rand,9411,9411,2974,0.9400000000000001,1000000,swim
384,rand,6463,6463,2127,0.65,1000000,swim
512,rand,5260,5260,1756,0.53,1000000,swim
768,rand,4093,4093,1317,0.41000000000000003,1000000,swim
1024,rand,3459,3459,1013,0.35000000000000003,1000000,swim
16,lru,171961,171961,46293,17.2,1000000,swim
32,lru,48254,48254,9674,4.83,1000000,swim
48,lru,29383,29383,6978,2.94,1000000,swim
64,lru,21656,21656,5687,2.17,1000000,swim
96,lru,16356,16356,4592,1.6400000000000001,1000000,swim
128,lru,13250,13250,3812,1.32,1000000,swim
192,lru,7602,7602,2385,0.76,1000000,swim
256,lru,5673,5673,1866,0.5700000000000001,1000000,swim
384,lru,4350,4350,1357,0.44,1000000,swim
512,lru,3632,3632,1159,0.36,1000000,swim
768,lru,2984,2984,927,0.3,1000000,swim
1024,lru,2803,2803,789,0.27999999999999997,1000000,swim
16,clock,191848,191848,48350,19.18,1000000,swim
32,clock,53025,53025,11140,5.3,1000000,swim
48,clock,31017,31017,7193,3.1,1000000,swim
64,clock,22611,22611,5844,2.26,1000000,swim
96,clock,17594,17594,4916,1.76,1000000,swim
128,clock,15275,15275,4371,1.53,1000000,swim
192,clock,8367,8367,2633,0.84,1000000,swim
256,clock,5980,5980,1973,0.6,1000000,swim
384,clock,4522,4522,1454,0.44999999999999996,1000000,swim
512,clock,3795,3795,1218,0.38,1000000,swim
768,clock,3157,3157,1008,0.32,1000000,swim
1024,clock,2901,2901,809,0.29,1000000,swim
16,rand,144354,144354,31956,14.44,1000000,sixpack
32,rand,88903,88903,19409,8.89,1000000,sixpack
48,rand,65579,65579,15138,6.5600000000000005,1000000,sixpack
64,rand,51728,51728,12707,5.17,1000000,sixpack
96,rand,37086,37086,10020,3.71,1000000,sixpack
128,rand,29006,29006,8547,2.9000000000000004,1000000,sixpack
192,rand,20441,20441,6601,2.04,1000000,sixpack
256,rand,15765,15765,5402,1.58,1000000,sixpack
384,rand,11084,11084,4164,1.11,1000000,sixpack
512,rand,8902,8902,3475,0.89,1000000,sixpack
768,rand,6873,6873,2768,0.69,1000000,sixpack
1024,rand,5958,5958,2412,0.6,1000000,sixpack
16,lru,108682,108682,19342,10.870000000000001,1000000,sixpack
32,lru,67747,67747,13730,6.77,1000000,sixpack
48,lru,53807,53807,10873,5.38,1000000,sixpack
64,lru,41186,41186,9672,4.12,1000000,sixpack
96,lru,26313,26313,7920,2.63,1000000,sixpack
128,lru,21090,21090,6526,2.11,1000000,sixpack
192,lru,13913,13913,4849,1.39,1000000,sixpack
256,lru,11240,11240,4092,1.1199999999999999,1000000,sixpack
384,lru,7093,7093,2873,0.7100000000000001,1000000,sixpack
512,lru,5823,5823,2444,0.58,1000000,sixpack
768,lru,4898,4898,2092,0.49,1000000,sixpack
1024,lru,4468,4468,1846,0.44999999999999996,1000000,sixpack
16,clock,115206,115206,20951,11.52,1000000,sixpack
32,clock,70849,70849,14432,7.08,1000000,sixpack
48,clock,56243,56243,11490,5.62,1000000,sixpack
64,clock,41949,41949,9947,4.19,1000000,sixpack
96,clock,28219,28219,8443,2.82,1000000,sixpack
128,clock,23229,23229,7226,2.32,1000000,sixpack
192,clock,14958,14958,5146,1.5,1000000,sixpack
256,clock,11876,11876,4319,1.1900000000000002,1000000,sixpack
384,clock,7560,7560,3069,0.76,1000000,sixpack
512,clock,6119,6119,2587,0.61,1000000,sixpack
768,clock,5055,5055,2151,0.51,1000000,sixpack
1024,clock,4618,4618,1937,0.45999999999999996,1000000,sixpack
